entidad,departamento_entidad,orden,nit_entidad,cantidad,suma_valor_contrato
BOLIVAR FONDO ESPECIAL DE BOMBEROS CARTAGENA,Bolívar,TERRITORIAL,890480184,73,526273633.0
BOLÍVAR  FONDO MUNICIPAL DE TRÁNSITO Y TRANSPORTE TERRESTRE DE MAGANGUÉ,Bolívar,TERRITORIAL,806001262,190,3918684786.0
BOLÍVAR  GOBERNACIÓN,Bolívar,TERRITORIAL,No Definido,26782,3974527596875.0
BOLÍVAR  IMDER GUAMO  INSTITUTO MUNICIPAL DE DEPORTES Y RECREACIÓN,Bolívar,TERRITORIAL,806009550,146,1026534169.0
BOLÍVAR  INSPECCIÓN DE TRANSPORTE Y TRÁNSITO MUNICIPAL EL CARMEN DE BOLÍVAR,Bolívar,TERRITORIAL,800115099,95,1365356512.0
BOLIVAR  INSTI5TUTO MUNICIPAL DEL DEPORTE Y RECREACIÓN DE TURBACO,Bolívar,TERRITORIAL,806.002.997-0,92,1063477007.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA 20 DE JULIO CARTAGENA,Bolívar,TERRITORIAL,806003564,57,360892817.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA ALBERTO ELIAS FERNANDEZ  CARTAGENA,Bolívar,TERRITORIAL,806012229,38,105938700.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA AMBIENTALISTA DE CARTAGENA,Bolívar,TERRITORIAL,900007622,106,379479610.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA ANA MARIA VELEZ DE TRUJILLO  CARTAGENA,Bolívar,TERRITORIAL,806000581,12,42887744.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA ANTONIA SANTOS,Bolívar,TERRITORIAL,806011897,47,258111518.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA ANTONIO NARIÑO  CARTAGENA,Bolívar,TERRITORIAL,806012071,5,36535793.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA ARROYO DE PIEDRA  CARTAGENA,Bolívar,TERRITORIAL,806004095,45,398380843.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA BENJAMÍN HERRERA  ARJONA,Bolívar,TERRITORIAL,806003037,90,270389905.0
BOLIVAR  INSTITUCIÓN EDUCATIVA BERTHA GEDEÓN DE BÁLADI  CARTAGENA,Bolívar,TERRITORIAL,806007908,33,121214246.0
BOLIVAR  INSTITUCIÓN EDUCATIVA CANALETAL  SAN PABLO,Bolívar,TERRITORIAL,829003655 - 5,2,
BOLÍVAR  INSTITUCION EDUCATIVA CASD MANUELA BELTRAN  CARTAGENA,Bolívar,TERRITORIAL,890481209,27,187478612.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA CATALINA HERRERA  ARJONA,Bolívar,TERRITORIAL,806013548,2,6408000.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA COMUNAL DE VERSALLES  MAGANGUÉ,Bolívar,TERRITORIAL,806003634,20,53802950.0
BOLÍVAR  INSTITUCION EDUCATIVA CORAZON DE MARIA  CARTAGENA,Bolívar,TERRITORIAL,806012542-6,57,414974062.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA CUARTA POZA DE MANGA  TURBACO,Bolívar,TERRITORIAL,806013403,2,42941558.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA DE ARARCA  CARTAGENA,Bolívar,TERRITORIAL,806004076,1,1000000.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA DE BAYUNCA  CARTAGENA,Bolívar,TERRITORIAL,806004641,71,680547782.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA DE CARACOLÍ  EL CARMEN DE BOLÍVAR,Bolívar,TERRITORIAL,900164968,4,27234200.0
BOLIVAR  INSTITUCIÓN EDUCATIVA DE EL PEÑONCITO  EL PEÑON,Bolívar,TERRITORIAL,806013479-4,3,5950000.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA DE FREDONIA  CARTAGENA,Bolívar,TERRITORIAL,806003670,23,149773664.0
BOLIVAR  INSTITUCIÓN EDUCATIVA DE GALLEGO  ACHÍ,Bolívar,TERRITORIAL,806014130-4,19,35391236.0
BOLIVAR  INSTITUCION EDUCATIVA DE LA BOQUILLA  CARTAGENA,Bolívar,NACIONAL,800119213,36,672312009.0
BOLIVAR  INSTITUCION EDUCATIVA DE LETICIA  CARTAGENA,Bolívar,TERRITORIAL,900792923,16,14836000.0
BOLIVAR  INSTITUCION EDUCATIVA DE MARIA CANO  CARTAGENA,Bolívar,TERRITORIAL,806004017,3,29690000.0
BOLÍVAR  INSTITUCION EDUCATIVA DE NOROSI,Bolívar,TERRITORIAL,806014845,9,359853336.0
BOLIVAR  INSTITUCIÓN EDUCATIVA DE PONTEZUELA  CARTAGENA,Bolívar,TERRITORIAL,806011799,62,219723482.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA DE PROMOCIÓN SOCIAL DE CARTAGENA,Bolívar,TERRITORIAL,806011976,22,133659250.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA DE RIO NUEVO  ACHI,Bolívar,TERRITORIAL,806014039-1,14,43966235.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA DE RIOVIEJO,Bolívar,TERRITORIAL,806013549-1,7,28888151.0
BOLIVAR   INSTITUCION EDUCATIVA DE SANTA ANACARTAGENA,Bolívar,TERRITORIAL,806005031,64,198249896.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA DE TERNERA  CARTAGENA,Bolívar,TERRITORIAL,806011886,50,235260533.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA DE TIERRA BAJA  CARTAGENA,Bolívar,TERRITORIAL,806010594,35,239820745.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA DE TIERRA BOMBA  CARTAGENA,Bolívar,TERRITORIAL,806002878,5,
BOLÍVAR  INSTITUCIÓN EDUCATIVA DE ZIPACOA  VILLANUEVA,Bolívar,TERRITORIAL,806013247,1,2180000.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA DOMINGO BENKOS BIOHO  CARTAGENA,Bolívar,TERRITORIAL,806009769,55,307556334.0
BOLIVAR  INSTITUCION EDUCATIVA FERNANDO DE LA VEGA  CARTAGENA,Bolívar,TERRITORIAL,806012806,13,57963206.0
BOLÍVAR  INSTITUCION EDUCATIVA FE Y ALEGRIA EL PROGRESO  CARTAGENA,Bolívar,TERRITORIAL,806012074,48,261030623.0
BOLIVAR  INSTITUCIÓN EDUCATIVA FE Y ALEGRÍA LAS AMÉRICAS  CARTAGENA,Bolívar,TERRITORIAL,806011979,69,340310848.0
BOLIVAR  INSTITUCION EDUCATIVA FULGENCIO LEQUERICA VÉLEZ,Bolívar,TERRITORIAL,806012804,14,87290645.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA HIJOS DE MARÍA  CARTAGENA,Bolívar,TERRITORIAL,806011904,45,559680227.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA ISLA FUERTE  CARTAGENA,Bolívar,TERRITORIAL,806009142,1,
BOLÍVAR  INSTITUCIÓN EDUCATIVA ISLAS DEL ROSARIO  CARTAGENA,Bolívar,TERRITORIAL,806012452,29,175028810.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA JOHN F KENNEDY,Bolívar,TERRITORIAL,806003005,260,664347123.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA JORGE ARTEL  CARTAGENA,Bolívar,TERRITORIAL,9013744432,4,34869950.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA JOSE MANUEL RODRIGUEZ TORICES  CARTAGENA,Bolívar,TERRITORIAL,806011843,192,1272835255.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA JUAN JOSÉ NIETO,Bolívar,TERRITORIAL,800240605-7,15,945568072.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA JULIO RAMÓN FACIO LINCE  BARRANCO DE LOBA,Bolívar,TERRITORIAL,806013492,9,57398120.0
BOLÍVAR  INSTITUCION EDUCATIVA LA MILAGROSA  CARTAGENA,Bolívar,TERRITORIAL,806012547-2,22,43114725.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA LAS GAVIOTAS  CARTAGENA,Bolívar,TERRITORIAL,806011970,22,194148800.0
BOLIVAR  INSTITUCIÓN EDUCATIVA LA VICTORIA  CANTAGALLO,Bolívar,TERRITORIAL,829003718,2,10196797.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA LICEO DE BOLÍVAR  CARTAGENA,Bolívar,TERRITORIAL,806012153,45,168471217.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA LICEO MODERNO MAGANGUÉ  MAGANGUÉ,Bolívar,TERRITORIAL,806003713,55,144240328.0
BOLIVAR  INSTITUCION EDUCATIVA LUIS CARLOS GALAN SARMIENTO  CARTAGENA,Bolívar,TERRITORIAL,806011832,4,75069863.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA LUIS CARLOS LÓPEZ  CARTAGENA,Bolívar,TERRITORIAL,806001355-8,40,120393247.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA MADRE GABRIELA DE SAN MARTÍN  CARTAGENA,Bolívar,TERRITORIAL,806002722,3,17895320.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA MADRE LAURA  CARTAGENA,Bolívar,TERRITORIAL,806003596,42,129197482.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA MANUELA BELTRÁN DE CARTAGENA,Bolívar,TERRITORIAL,806011877,16,89763775.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA MANUELA VERGARA DE CURI  CARTAGENA,Bolívar,TERRITORIAL,806003655,37,243535870.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA MANZANILLO DEL MAR  CARTAGENA,Bolívar,TERRITORIAL,806008245,5,
BOLÍVAR  INSTITUCIÓN EDUCATIVA MARÍA AUXILIADORA  CARTAGENA,Bolívar,TERRITORIAL,806013002,26,59814263.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA MARÍA REINA  CARTAGENA,Bolívar,TERRITORIAL,900000097,63,235851995.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA MERCEDES ABREGO,Bolívar,TERRITORIAL,806012552,1,25415031.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA NORMAL SUPERIOR MONTES DE MARÍA  SAN JUAN NEPOMUCENO,Bolívar,TERRITORIAL,806013259,19,161808436.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA NUESTRA SEÑORA DEL CARMEN  CARTAGENA DE INDIAS,Bolívar,TERRITORIAL,806012079,144,958727153.0
BOLIVAR  INSTITUCION EDUCATIVA NUESTRO ESFUERZO  CARTAGENA,Bolívar,TERRITORIAL,806001166,17,
BOLÍVAR  INSTITUCIÓN EDUCATIVA NUEVA ESPERANZA DE ARROYO GRANDE  CARTAGENA,Bolívar,TERRITORIAL,806012072,17,98315905.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA NUEVO BOSQUE  CARTAGENA,Bolívar,TERRITORIAL,900013774,129,629660788.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA OLGA GONZÁLEZ ARRAUT  CARTAGENA,Bolívar,TERRITORIAL,806003501,3,211572676.0
BOLIVAR  INSTITUCION EDUCATIVA OMAIRA SANCHEZ GARZON  CARTAGENA,Bolívar,TERRITORIAL,890481476,8,17611536.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA OSVALDO OCHOA BECERRA  CÓRDOBA,Bolívar,TERRITORIAL,806013356,7,44221600.0
BOLIVAR  INSTITUCION EDUCATIVA PIO XII  SAN JACINTO,Bolívar,TERRITORIAL,890480393,5,27276300.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA PUERTO REY  CARTAGENA,Bolívar,TERRITORIAL,806004078,13,189949573.0
BOLIVAR  INSTITUCIÓN EDUCATIVA RAFAEL NUÑEZ  CARTAGENA,Bolívar,TERRITORIAL,806013159-2,85,267382416.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA REPÚBLICA DE ARGENTINA  CARTAGENA,Bolívar,TERRITORIAL,806012616,26,78559694.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA REPÚBLICA DEL LÍBANO  CARTAGENA,Bolívar,TERRITORIAL,800215242,33,318477157.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA SAN FELIPE NERI  CARTAGENA,Bolívar,TERRITORIAL,890480630,33,132326550.0
BOLÍVAR  INSTITUCION EDUCATIVA SAN FRANCISCO DE ASIS  CARTAGENA,Bolívar,TERRITORIAL,806011890,119,658012317.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA SAN FRANCISCO  SANTA ROSA DEL SUR,Bolívar,TERRITORIAL,829003667,2,
BOLÍVAR  INSTITUCIÓN EDUCATIVA SAN JOSE DE ACHÍ,Bolívar,TERRITORIAL,806013211-8,3,5370000.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA SAN JOSÉ DE CAÑO DEL ORO CARTAGENA,Bolívar,TERRITORIAL,806003193,14,55029675.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA SAN JUAN DE DAMASCO,Bolívar,TERRITORIAL,806011909,5,
BOLÍVAR  INSTITUCIÓN EDUCATIVA SAN LUCAS  CARTAGENA,Bolívar,TERRITORIAL,806003825,51,231017196.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA SAN SEBASTIÁN DE MADRID  MAGANGUÉ,Bolívar,TERRITORIAL,900072354,1,
BOLIVAR  INSTITUCION EDUCATIVA SANTA CRUZ DEL ISLOTE  CARTAGENA DE INDIAS,Bolívar,TERRITORIAL,806009730,44,244912579.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA SANTA LUCIA  ACHI,Bolívar,TERRITORIAL,806014233-4,2,
BOLÍVAR  INSTITUCIÓN EDUCATIVA SANTA MARÍA  CARTAGENA,Bolívar,TERRITORIAL,806011919,21,109627697.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA SOLEDAD ACOSTA DE SAMPER  CARTAGENA,Bolívar,TERRITORIAL,806011971,181,720690555.0
BOLIVAR  INSTITUCIÓN EDUCATIVA SOLEDAD ROMAN DE NUÑEZ  CARTAGENA,Bolívar,TERRITORIAL,8060121770,100,383640440.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA TÉCNICA ACUÍCOLA SAGRADO CORAZÓN DE JESÚS  ZAMBRANO,Bolívar,TERRITORIAL,806003725,13,57300200.0
BOLIVAR  INSTITUCION EDUCATIVA TECNICA ACUICOLA  SAN CRISTOBAL,Bolívar,TERRITORIAL,806013197,14,41192720.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA DE PUERTO VENECIA  ACHI,Bolívar,TERRITORIAL,806013889,3,6350000.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA TÉCNICA  AGROPECUARIA LOS NISPEROS  ACHÍ,Bolívar,TERRITORIAL,806013350-3,4,
BOLÍVAR INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA NUEVA FLORIDA  MARÍA LA BAJA,Bolívar,TERRITORIAL,806009071-8,7,38705500.0
BOLIVAR  INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA RICARDO CASTELLAR BARRIOS  ACHÍ,Bolívar,TERRITORIAL,900233450-6,2,12218000.0
BOLIVAR  INSTITUCIÓN EDUCATIVA TÉCNICA AGROPECUARIA Y ACUICOLA PUERTO BADEL  ARJONA,Bolívar,TERRITORIAL,806.013.256-9,11,56889866.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA TECNICA AGROPECUARIA Y EMPRESARIAL POZO AZUL  SAN PABLO,Bolívar,TERRITORIAL,829003637-2,2,
BOLÍVAR  INSTITUCIÓN EDUCATIVA TÉCNICA AGROPESQUERA MANUEL PADILLA POLO DE ROBLES  GUAMO,Bolívar,TERRITORIAL,806013198,5,3465000.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA TÉCNICA COMERCIAL SAN MARTIN DE LOBA,Bolívar,TERRITORIAL,806013114,6,
BOLÍVAR  INSTITUCIÓN EDUCATIVA TÉCNICA DE PASACABALLOS  CARTAGENA,Bolívar,TERRITORIAL,800255974,37,213461436.0
BOLÍVAR  INSTITUCIÓN EDUCATIVA TÉCNICA GABRIELA MISTRAL  CARMEN DE BOLIVAR,Bolívar,TERRITORIAL,806013260,10,41244049.0
BOLIVAR  INSTITUCIÓN EDUCATIVA TÉCNICA INDUSTRIAL DON BOSCO  ARJONA,Bolívar,TERRITORIAL,806013262-3,6,
BOLÍVAR  INSTITUCIÓN EDUCATIVA TÉCNICA LA INTEGRADA  SAN PABLO,Bolívar,TERRITORIAL,829000864,51,226467153.0
BOLÍVAR  INSTITUCIÓN ETNOEDUCATIVA PEDRO ROMERO  CARTAGENA,Bolívar,TERRITORIAL,900029429,7,50332042.0
BOLÍVAR  INSTITUCIÓN TÉCNICA AGROPECUARIA ERASMO DONADO LLANOS  ZAMBRANO,Bolívar,TERRITORIAL,806006164,18,77380423.0
BOLÍVAR  INSTITUCIÓN UNIVERSITARIA BELLAS ARTES Y CIENCIAS DE BOLÍVAR,Bolívar,TERRITORIAL,890480308,1740,107175931827.0
BOLÍVAR  INSTITUCIÓN UNIVERSITARIA MAYOR DE CARTAGENA,Bolívar,TERRITORIAL,890480054,2225,61202351465.0
BOLÍVAR  INSTITUTO DE CULTURA Y TURISMO DE BOLÍVAR  CARTAGENA,Bolívar,TERRITORIAL,900673958,764,51171145027.0
BOLÍVAR  INSTITUTO DEPARTAMENTAL DE DEPORTES Y RECREACIÓN DE BOLÍVAR,Bolívar,TERRITORIAL,No Definido,1545,76266956199.0
BOLÍVAR  INSTITUTO DE PATRIMONIO Y CULTURA DE CARTAGENA,Bolívar,TERRITORIAL,806013631,2980,57714736475.0
BOLÍVAR  INSTITUTO DE RECREACIÓN Y DEPORTE DE SAN JUAN NEPOMUCENO,Bolívar,TERRITORIAL,806006900,307,1803188259.0
BOLIVAR  INSTITUTO DE RECREACIÓN Y DEPORTE DE TURBANA,Bolívar,NACIONAL,806007438,10,62355100.0
BOLÍVAR  INSTITUTO DE RECREACIÓN Y DEPORTES DE  MAHATES,Bolívar,TERRITORIAL,900032881,100,830864776.0
BOLÍVAR  INSTITUTO DE RECREACIÓN Y DEPORTES INDERT  TURBANÁ,Bolívar,TERRITORIAL,806007438,7,25516885.0
BOLÍVAR  INSTITUTO DISTRITAL DE DEPORTE Y RECREACIÓN DE CARTAGENA,Bolívar,TERRITORIAL,800232726,8305,147095485180.0
BOLIVAR  INSTITUTO MUNICIPAL DE CULTURA DEPORTE Y RECREACION DE TIQUISIO  IMCUDERT,Bolívar,TERRITORIAL,900409008,2,
BOLIVAR  INSTITUTO MUNICIPAL DE DEPORTE RECREACIÓN CULTURA Y APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACIÓN FÍSICA  IMDERMITI  SIMITI,Bolívar,TERRITORIAL,9003796019,249,2539146805.0
BOLIVAR  INSTITUTO MUNICIPAL DE DEPORTE RECREACIÓN Y CULTURA DE SAN PABLO DE BOLIVAR BOLIVAR,Bolívar,TERRITORIAL,829001083,70,539398154.0
BOLIVAR  INSTITUTO MUNICIPAL DE DEPORTES DE ARENAL,Bolívar,TERRITORIAL,900519629,35,298016655.0
BOLIVAR  INSTITUTO MUNICIPAL DE DEPORTES Y RECREACION DE ARJONA BOLIVAR  ARJONA,Bolívar,TERRITORIAL,900009587,4,95000000.0
BOLIVAR  INSTITUTO MUNICIPAL DE DEPORTES Y RECREACION DE SAN CRISTOBAL BOLIVAR,Bolívar,TERRITORIAL,806006893,20,91316378.0
BOLÍVAR  INSTITUTO MUNICIPAL DE DEPORTE Y RECREACIÓN DE SANTA CATALINA  IMDER,Bolívar,TERRITORIAL,806016363,6,37152500.0
BOLÍVAR  INSTITUTO MUNICIPAL DE DEPORTE Y RECREACIÓN  SAN ESTANISLAO DE KOSTKA,Bolívar,TERRITORIAL,806005697,27,193830997.0
BOLÍVAR  INSTITUTO MUNICIPAL DE DEPORTE Y RECREACIÓN  SAN JACINTO,Bolívar,TERRITORIAL,806001410,137,87848430.0
BOLIVAR  INSTITUTO MUNICIPAL DE LAS ARTES CULTURA Y TURISMO JULIO GIL BELTRAN IMACAR,Bolívar,TERRITORIAL,900370669-8,15,33380000.0
BOLIVARINSTITUTO MUNICIPAL DEL DEPORTE RECREA CULTURA APROVE DEL TIEMPO LIBRE Y LA EDU REGIDOR IMDERC,Bolívar,TERRITORIAL,901068414,21,357560000.0
BOLÍVAR  INSTITUTO MUNICIPAL DEPORTE Y DE CULTURA INDERMOR  MORALES,Bolívar,TERRITORIAL,900505535,312,2100520440.0
BOLÍVAR  INSTITUTO MUNICIPAL DE RECREACION Y DEPORTE IMDER  CLEMENCIA,Bolívar,TERRITORIAL,900225595,79,724094923.0
BOLÍVAR  INSTITUTO MUNICIPAL DE RECREACIÓN Y DEPORTES DE VILLANUEVA,Bolívar,TERRITORIAL,900067415,232,706089951.0
BOLÍVAR  INSTITUTO MUNICIPAL DE TRÁNSITO Y TRANSPORTE   CLEMENCIA,Bolívar,TERRITORIAL,900563301,127,1532410733.0
BOLÍVAR  INSTITUTO MUNICIPAL PARA EL FOMENTO DEL DEPORTE LA CULTURA RECREACIÓN EL APROVECHAMIENTO DEL TIEMPO LIBRE Y LA EDUCACIÓN FÍSICA,Bolívar,TERRITORIAL,900379601-9,50,86597767.0
BOLÍVAR  JUNTA MUNICIPAL DE DEPORTES  EL CARMEN DE BOLÍVAR,Bolívar,TERRITORIAL,806006217,8,208173966.0
BOLÍVAR  LOTERÍA DE BOLÍVAR,Bolívar,TERRITORIAL,890480089,49,129483122964.0
BOLÍVAR  OFICINA DE REGISTRO DE INSTRUMENTOS PÚBLICOS DE MOMPÓS,Bolívar,TERRITORIAL,899999007-0,1,
BOLIVAR  PERSONERÍA DE EL MUNICIPIO DE EL PEÑÓN,Bolívar,TERRITORIAL,806007054,16,49137933.0
BOLÍVAR  PERSONERÍA DISTRITAL DE CARTAGENA DE INDIAS,Bolívar,TERRITORIAL,806000084,1428,21215979397.0
BOLIVAR  PERSONERIA MUNICIPAL DE ARJONA,Bolívar,TERRITORIAL,806005403,2,20600000.0
BOLIVAR  PERSONERIA MUNICIPAL DE CLEMENCIA CLEMENCIA,Bolívar,TERRITORIAL,806006915,6,45633000.0
BOLÍVAR  PERSONERIA MUNICIPAL DE CORDOBA,Bolívar,NACIONAL,806011677,10,105954400.0
BOLÍVAR  PERSONERÍA MUNICIPAL DE EL GUAMO,Bolívar,TERRITORIAL,806006984,21,116907082.0
BOLIVAR  PERSONERIA MUNICIPAL DE MOMPÓS,Bolívar,TERRITORIAL,900060999,7,100600000.0
BOLÍVAR  PERSONERÍA MUNICIPAL DE REGIDOR,Bolívar,TERRITORIAL,806005490,1,22635063.0
BOLIVAR  PERSONERIA MUNICIPAL DE SAN JUAN NEPOMUCENO  SAN JUAN NEPOMUCENO,Bolívar,TERRITORIAL,806004821,4,14000000.0
BOLÍVAR  PERSONERÍA  MUNICIPAL DE SAN MARTÍN DE LOBA,Bolívar,TERRITORIAL,806007369,9,11800000.0
BOLÍVAR  PERSONERÍA MUNICIPAL DE SANTA ROSA NORTE,Bolívar,TERRITORIAL,806001076,10,148700000.0
BOLIVAR  PERSONERÍA MUNICIPAL DE TALAIGUA NUEVO,Bolívar,TERRITORIAL,900020575-3,2,13800000.0
BOLÍVAR  PERSONERÍA MUNICIPAL DE ZAMBRANO,Bolívar,TERRITORIAL,806002241-1,1,
BOLÍVAR  PERSONERÍA MUNICIPIO DE CANTAGALLO,Bolívar,TERRITORIAL,829001189,5,10949900.0
BOLÍVAR  PERSONERÍA MUNICIPIO DE CARMEN DE BOLÍVAR,Bolívar,TERRITORIAL,806002302,8,32000000.0
BOLÍVAR  PERSONERÍA MUNICIPIO DE MAGANGUÉ,Bolívar,TERRITORIAL,806000694,12,3000000.0
BOLÍVAR  PERSONERÍA MUNICIPIO DE MAHATES,Bolívar,TERRITORIAL,806002674,9,49851491.0
BOLÍVAR  PERSONERÍA MUNICIPIO DE MARGARITA,Bolívar,TERRITORIAL,806007928,1,
BOLÍVAR  PERSONERÍA MUNICIPIO DE MORALES,Bolívar,TERRITORIAL,891500982-6,18,86037704.0
BOLÍVAR  PERSONERÍA MUNICIPIO DE SAN CRISTOBAL,Bolívar,TERRITORIAL,806002514,28,108281000.0
BOLÍVAR  PERSONERIA MUNICIPIO DE SAN JACINTO DEL CAUCA,Bolívar,TERRITORIAL,806016445-8,8,11627875.0
BOLÍVAR  PERSONERÍA MUNICIPIO DE SAN PABLO,Bolívar,TERRITORIAL,814006812,13,66660100.0
BOLÍVAR  PERSONERÍA MUNICIPIO DE  SANTA ROSA DEL SUR,Bolívar,TERRITORIAL,829001174,5,11135000.0
BOLÍVAR  PERSONERÍA MUNICIPIO DE SOPLAVIENTO,Bolívar,TERRITORIAL,806001209,4,75800000.0
BOLÍVAR  PERSONERÍA MUNICIPIO DE TURBACO,Bolívar,TERRITORIAL,806007384,25,219176667.0
BOLÍVAR  PERSONERÍA MUNICIPIO DE VILLANUEVA,Bolívar,TERRITORIAL,806000897,3,10246800.0
BOLÍVAR  REFINERÍA DE CARTAGENA SA,Bolívar,NACIONAL,900112515,1674,285451157657.0
BOLÍVAR  TRANSCARIBE SA,Bolívar,TERRITORIAL,806014488,2358,2711853174764.0
BOLÍVAR  UNIDAD DE AGUA POTABLE Y SANEAMIENTO BÁSICO DEL MUNICIPIO DE NOROSÍ,Bolívar,TERRITORIAL,900192833-6,2,16400000.0
BOLÍVAR  UNIVERSIDAD DE CARTAGENA DE INDIAS,Bolívar,TERRITORIAL,No Definido,2732,480472794653.0
BOYACÁ  ADMINISTRACIÓN PÚBLICA COOPERATIVA SOLIDARIA DE SERVICIOS PÚBLICOS DE SOTAQUIRÁ,Boyacá,TERRITORIAL,900258898-1,60,323804636.0
BOYACÁ  AGUAS CON FUTURO SA ESP  SABOYA,Boyacá,TERRITORIAL,900437344,236,3318270686.0
BOYACÁ  AGUAS DE ARCABUCO SA ESP  ARCABUCO,Boyacá,TERRITORIAL,900263342,109,422975349.0
BOYACÁ  ALCALDÍA MUNICIPIO DE ALMEIDA,Boyacá,TERRITORIAL,891502664-8,1302,43760071677.0
BOYACÁ  ALCALDÍA MUNICIPIO DE AQUITANIA,Boyacá,TERRITORIAL,800077545,2406,70693214231.0
BOYACÁ  ALCALDÍA MUNICIPIO DE ARCABUCO,Boyacá,TERRITORIAL,800063791,1383,42076292303.0
BOYACÁ  ALCALDÍA MUNICIPIO DE BELÉN,Boyacá,TERRITORIAL,890802650-9,1583,51378052870.0
BOYACÁ  ALCALDÍA MUNICIPIO DE BERBEO,Boyacá,TERRITORIAL,800099390,1380,58094463449.0
BOYACÁ  ALCALDÍA MUNICIPIO DE BETEITIVA,Boyacá,TERRITORIAL,890980802-3,1724,39291120783.0
BOYACÁ  ALCALDÍA MUNICIPIO DE BOAVITA,Boyacá,TERRITORIAL,891856294,2073,42344048874.0
BOYACÁ  ALCALDÍA MUNICIPIO DE BOYACÁ,Boyacá,TERRITORIAL,800023383,1772,63360856426.0
BOYACÁ  ALCALDÍA MUNICIPIO DE BRICEÑO,Boyacá,TERRITORIAL,800099721,1450,35941362188.0
BOYACÁ  ALCALDÍA MUNICIPIO DE BUENAVISTA,Boyacá,TERRITORIAL,891808260,1549,46373610776.0
BOYACÁ  ALCALDÍA MUNICIPIO DE BUSBANZA,Boyacá,TERRITORIAL,800099714,1727,41422542548.0
BOYACÁ  ALCALDÍA MUNICIPIO DE CALDAS,Boyacá,TERRITORIAL,891801796,1019,29228903040.0
BOYACÁ  ALCALDÍA MUNICIPIO DE CAMPOHERMOSO,Boyacá,TERRITORIAL,800028393,2791,55889895509.0
BOYACÁ  ALCALDÍA MUNICIPIO DE CERINZA,Boyacá,TERRITORIAL,891857805,1247,28850213323.0
